scenario,load,rep,seed,emitted,persisted,loss_rate,lat_p50_ms,lat_p95_ms,lat_max_ms,click_of_sent,submit_of_click,elapsed_s
alto,1000,13,20274910,1000,1000,0.0,2.0,4.0,21.0,0.284,0.4929,9.894
alto,10000,13,20283910,10000,10000,0.0,1.0,2.0,21.0,0.3065,0.4626,58.456
baixo,10000,14,20284910,10000,10000,0.0,1.0,2.0,45.0,0.1018,0.4837,84.684
baixo,1000,14,20275910,1000,1000,0.0,1.0,2.0,32.0,0.0903,0.3966,7.213
baixo,100,14,20275010,100,100,0.0,1.0,2.0,4.0,0.1452,0.5556,0.486
base,10000,14,20284910,10000,10000,0.0,1.0,2.0,37.0,0.1738,0.4704,50.71
base,1000,14,20275910,1000,1000,0.0,1.0,2.0,25.0,0.1706,0.4412,4.734
base,100,14,20275010,100,100,0.0,0.5,1.0,3.0,0.1864,0.6364,0.367
alto,10000,14,20284910,10000,10000,0.0,1.0,2.0,44.0,0.3073,0.4752,50.981
alto,1000,14,20275910,1000,1000,0.0,1.0,2.0,12.0,0.2788,0.4058,4.606
alto,100,14,20275010,100,100,0.0,0.0,1.0,2.0,0.2745,0.4286,0.37
baixo,100,15,20276010,100,100,0.0,1.0,2.0,2.0,0.0588,0.5,0.482
baixo,1000,15,20276910,1000,1000,0.0,1.0,2.0,3.0,0.1022,0.4394,4.378
baixo,10000,15,20285910,10000,10000,0.0,1.0,2.0,72.0,0.0956,0.4755,87.153
base,100,15,20276010,100,100,0.0,1.0,1.0,3.0,0.1212,0.375,0.394
base,1000,15,20276910,1000,1000,0.0,1.0,2.0,5.0,0.1823,0.4771,4.81
base,10000,15,20285910,10000,10000,0.0,1.0,2.0,53.0,0.1685,0.4697,51.596
alto,100,15,20276010,100,100,0.0,1.0,2.0,4.0,0.3182,0.4286,0.518
alto,1000,15,20276910,1000,1000,0.0,1.0,2.0,5.0,0.3263,0.5355,4.78
alto,10000,15,20285910,10000,10000,0.0,1.0,2.0,59.0,0.2987,0.4774,47.351
baixo,10000,16,20286910,10000,10000,0.0,1.0,2.0,24.0,0.1001,0.5031,46.595
baixo,1000,16,20277910,1000,1000,0.0,1.0,2.0,38.0,0.0866,0.4107,5.236
baixo,100,16,20277010,100,100,0.0,1.0,1.0,2.0,0.1525,0.2222,0.407
base,10000,16,20286910,10000,10000,0.0,1.0,2.0,30.0,0.1616,0.464,51.483
base,1000,16,20277910,1000,1000,0.0,1.0,2.0,4.0,0.1452,0.5281,4.518
base,100,16,20277010,100,100,0.0,1.0,3.05,20.0,0.2407,0.3077,0.666
alto,10000,16,20286910,10000,10000,0.0,1.0,2.0,59.0,0.3045,0.4682,52.654
alto,1000,16,20277910,1000,1000,0.0,1.0,2.0,11.0,0.2939,0.554,5.22
alto,100,16,20277010,100,100,0.0,1.0,2.0,2.0,0.3191,0.4,0.44
baixo,100,17,20278010,100,100,0.0,0.0,1.0,2.0,0.1525,0.7778,0.367
baixo,1000,17,20278910,1000,1000,0.0,1.0,2.0,8.0,0.1134,0.3699,5.94
baixo,10000,17,20287910,10000,10000,0.0,1.0,2.0,32.0,0.0972,0.4799,62.265
base,100,17,20278010,100,100,0.0,1.0,4.0,8.0,0.2364,0.7692,0.715
base,1000,17,20278910,1000,1000,0.0,1.0,2.0,5.0,0.1381,0.4023,4.956
base,10000,17,20287910,10000,10000,0.0,1.0,2.0,78.0,0.1698,0.4921,63.593
alto,100,17,20278010,100,100,0.0,1.0,2.05,6.0,0.3542,0.5882,0.902
alto,1000,17,20278910,1000,1000,0.0,1.0,3.0,18.0,0.2461,0.512,8.205
alto,10000,17,20287910,10000,10000,0.0,1.0,2.0,33.0,0.3054,0.4737,71.203
baixo,10000,18,20288910,10000,10000,0.0,1.0,2.0,31.0,0.0996,0.4544,66.973
baixo,1000,18,20279910,1000,1000,0.0,1.0,2.0,6.0,0.1002,0.5873,6.591
baixo,100,18,20279010,100,100,0.0,1.0,2.0,3.0,0.0938,0.5,0.42
base,10000,18,20288910,10000,10000,0.0,1.0,2.0,78.0,0.1607,0.4814,56.923
base,1000,18,20279910,1000,1000,0.0,1.0,2.0,9.0,0.1731,0.4951,7.095
base,100,18,20279010,100,100,0.0,1.0,2.0,4.0,0.1475,0.4444,0.545
alto,10000,18,20288910,10000,10000,0.0,1.0,2.0,20.0,0.305,0.4478,57.622
alto,1000,18,20279910,1000,1000,0.0,1.0,2.0,5.0,0.3137,0.5101,6.405
alto,100,18,20279010,100,100,0.0,1.0,1.0,2.0,0.4146,0.5882,0.421
baixo,100,19,20280010,100,100,0.0,1.0,2.0,3.0,0.1379,0.375,0.651
baixo,1000,19,20280910,1000,1000,0.0,1.0,3.0,10.0,0.094,0.5082,6.726
baixo,10000,19,20289910,10000,10000,0.0,1.0,2.0,61.0,0.1025,0.4809,58.194
base,100,19,20280010,100,100,0.0,2.0,5.0,119.0,0.1786,0.3,1.184
base,1000,19,20280910,1000,1000,0.0,1.0,2.0,16.0,0.1617,0.4796,7.069
base,10000,19,20289910,10000,10000,0.0,1.0,2.0,52.0,0.1698,0.5045,54.911
alto,100,19,20280010,100,100,0.0,2.0,2.0,3.0,0.4524,0.3684,0.781
alto,1000,19,20280910,1000,1000,0.0,1.0,2.0,6.0,0.2915,0.4306,5.402
alto,10000,19,20289910,10000,10000,0.0,1.0,2.0,41.0,0.3051,0.4775,55.399
baixo,10000,20,20290910,10000,10000,0.0,1.0,2.0,14.0,0.1027,0.4399,49.174
baixo,1000,20,20281910,1000,1000,0.0,1.0,2.0,23.0,0.0851,0.4545,5.001
baixo,100,20,20281010,100,100,0.0,1.0,2.0,3.0,0.1077,0.5714,0.509
base,10000,20,20290910,10000,10000,0.0,1.0,2.0,36.0,0.1679,0.4512,53.058
base,1000,20,20281910,1000,1000,0.0,1.0,2.0,21.0,0.1669,0.4545,5.3
base,100,20,20281010,100,100,0.0,1.0,2.05,5.0,0.125,0.625,0.622
alto,10000,20,20290910,10000,10000,0.0,1.0,2.0,46.0,0.2896,0.4904,63.651
alto,1000,20,20281910,1000,1000,0.0,1.0,2.0,18.0,0.3197,0.4295,5.638
alto,100,20,20281010,100,100,0.0,1.0,2.0,3.0,0.4286,0.4444,0.442
baixo,100,21,20282010,100,100,0.0,1.0,2.0,4.0,0.0758,0.2,0.582
baixo,1000,21,20282910,1000,1000,0.0,1.0,2.0,4.0,0.0805,0.3962,5.281
baixo,10000,21,20291910,10000,10000,0.0,1.0,2.0,36.0,0.0968,0.4798,61.597
base,100,21,20282010,100,100,0.0,1.0,2.0,3.0,0.129,0.375,0.465
base,1000,21,20282910,1000,1000,0.0,1.0,2.0,7.0,0.1383,0.4419,5.681
base,10000,21,20291910,10000,10000,0.0,1.0,2.0,43.0,0.1662,0.4764,58.714
alto,100,21,20282010,100,100,0.0,1.0,1.0,2.0,0.2857,0.5,0.458
alto,1000,21,20282910,1000,1000,0.0,1.0,2.0,3.0,0.2831,0.4823,5.977
alto,10000,21,20291910,10000,10000,0.0,1.0,2.0,27.0,0.3072,0.4703,57.718
baixo,10000,22,20292910,10000,10000,0.0,1.0,2.0,78.0,0.1031,0.4625,54.511
baixo,1000,22,20283910,1000,1000,0.0,1.0,2.0,23.0,0.1208,0.4,5.285
baixo,100,22,20283010,100,100,0.0,1.0,2.0,3.0,0.0938,0.3333,0.492
base,10000,22,20292910,10000,10000,0.0,1.0,2.0,23.0,0.1699,0.4837,57.158
base,1000,22,20283910,1000,1000,0.0,1.0,2.0,24.0,0.178,0.4206,5.929
base,100,22,20283010,100,100,0.0,2.0,3.0,4.0,0.1754,0.3,0.85
alto,10000,22,20292910,10000,10000,0.0,1.0,3.0,67.0,0.2975,0.4913,69.968
alto,1000,22,20283910,1000,1000,0.0,1.0,3.0,11.0,0.2875,0.5,7.256
alto,100,22,20283010,100,100,0.0,1.0,4.05,9.0,0.2917,0.2857,0.922
baixo,100,23,20284010,100,100,0.0,2.0,4.0,8.0,0.0909,0.5,1.084
baixo,1000,23,20284910,1000,1000,0.0,1.0,2.0,5.0,0.1079,0.5373,6.422
baixo,10000,23,20293910,10000,10000,0.0,1.0,3.0,15.0,0.095,0.4605,70.379
base,100,23,20284010,100,100,0.0,0.0,1.0,2.0,0.1429,0.4444,0.424
base,1000,23,20284910,1000,1000,0.0,1.0,2.0,4.0,0.1675,0.57,5.193
base,10000,23,20293910,10000,10000,0.0,1.0,2.0,13.0,0.1687,0.4708,57.375
alto,100,23,20284010,100,100,0.0,1.0,2.05,5.0,0.3,0.4667,0.531
alto,1000,23,20284910,1000,1000,0.0,1.0,2.0,14.0,0.3004,0.4825,5.439
alto,10000,23,20293910,10000,10000,0.0,1.0,2.0,31.0,0.2999,0.4576,67.263
baixo,10000,24,20294910,10000,10000,0.0,2.0,3.0,69.0,0.1032,0.4777,125.177
baixo,1000,24,20285910,1000,1000,0.0,2.0,3.0,17.0,0.0987,0.4603,10.855
baixo,100,24,20285010,100,100,0.0,2.0,3.05,6.0,0.0563,0.75,1.679
base,10000,24,20294910,10000,10000,0.0,2.0,3.0,64.0,0.1691,0.4955,123.61
base,1000,24,20285910,1000,1000,0.0,1.0,3.0,9.0,0.1735,0.4902,11.293
base,100,24,20285010,100,100,0.0,2.0,4.0,9.0,0.1014,0.5714,1.55
alto,10000,24,20294910,10000,10000,0.0,1.0,3.0,23.0,0.2888,0.4706,93.116
alto,1000,24,20285910,1000,1000,0.0,1.0,2.0,26.0,0.2908,0.5036,5.679
alto,100,24,20285010,100,100,0.0,1.0,2.0,3.0,0.1818,0.3,0.458
baixo,100,25,20286010,100,100,0.0,1.0,2.0,4.0,0.0909,0.3333,0.586
baixo,1000,25,20286910,1000,1000,0.0,1.0,2.0,5.0,0.0874,0.4912,5.983
baixo,10000,25,20295910,10000,10000,0.0,1.0,2.0,33.0,0.0977,0.4736,67.639
base,100,25,20286010,100,100,0.0,0.0,1.0,5.0,0.1429,0.1111,0.444
base,1000,25,20286910,1000,1000,0.0,1.0,2.0,10.0,0.1438,0.5281,5.75
base,10000,25,20295910,10000,10000,0.0,1.0,2.0,24.0,0.1653,0.4748,64.416
alto,100,25,20286010,100,100,0.0,1.0,2.0,4.0,0.3333,0.2353,0.509
alto,1000,25,20286910,1000,1000,0.0,1.0,2.0,5.0,0.3319,0.4872,5.716
alto,10000,25,20295910,10000,10000,0.0,1.0,2.0,41.0,0.2929,0.4873,63.961
baixo,10000,26,20296910,10000,10000,0.0,1.0,2.0,55.0,0.1058,0.4807,58.08
baixo,1000,26,20287910,1000,1000,0.0,1.0,2.0,6.0,0.0883,0.5862,5.573
baixo,100,26,20287010,100,100,0.0,1.0,2.0,5.0,0.1475,0.2222,0.462
base,10000,26,20296910,10000,10000,0.0,1.0,2.0,23.0,0.1664,0.503,65.369
base,1000,26,20287910,1000,1000,0.0,2.0,4.0,56.0,0.1419,0.5618,10.557
base,100,26,20287010,100,100,0.0,1.0,3.0,9.0,0.2034,0.5833,0.832
alto,10000,26,20296910,10000,10000,0.0,1.0,2.0,34.0,0.2963,0.4895,65.736
alto,1000,26,20287910,1000,1000,0.0,1.0,2.0,4.0,0.3137,0.5168,5.944
alto,100,26,20287010,100,100,0.0,1.0,2.0,3.0,0.2979,0.5,0.618
baixo,100,27,20288010,100,100,0.0,1.0,2.0,3.0,0.1311,0.375,0.45
baixo,1000,27,20288910,1000,1000,0.0,1.0,2.0,24.0,0.0839,0.4259,5.619
baixo,10000,27,20297910,10000,10000,0.0,1.0,2.0,34.0,0.1005,0.4945,59.147
base,100,27,20288010,100,100,0.0,1.0,1.0,3.0,0.1475,0.3333,0.44
base,1000,27,20288910,1000,1000,0.0,1.0,2.0,5.0,0.1488,0.5111,5.238
base,10000,27,20297910,10000,10000,0.0,1.0,2.0,62.0,0.1676,0.5035,57.206
alto,100,27,20288010,100,100,0.0,1.0,2.0,3.0,0.25,0.4615,0.512
alto,1000,27,20288910,1000,1000,0.0,1.0,2.0,9.0,0.2857,0.4643,5.621
alto,10000,27,20297910,10000,10000,0.0,1.0,2.0,44.0,0.3007,0.4757,56.994
baixo,10000,28,20298910,10000,10000,0.0,1.0,2.0,38.0,0.0969,0.4854,52.58
baixo,1000,28,20289910,1000,1000,0.0,1.0,2.0,6.0,0.0821,0.5741,5.507
baixo,100,28,20289010,100,100,0.0,1.0,2.0,3.0,0.0806,0.4,0.551
base,10000,28,20298910,10000,10000,0.0,1.0,2.0,12.0,0.1646,0.4766,55.513
base,1000,28,20289910,1000,1000,0.0,1.0,2.0,8.0,0.1618,0.5253,5.383
base,100,28,20289010,100,100,0.0,1.0,2.0,5.0,0.1579,0.8889,0.534
alto,10000,28,20298910,10000,10000,0.0,1.0,2.0,57.0,0.2984,0.4723,57.486
alto,1000,28,20289910,1000,1000,0.0,1.0,2.0,6.0,0.2759,0.5294,4.951
alto,100,28,20289010,100,100,0.0,1.0,2.0,2.0,0.3,0.5333,0.445
baixo,100,29,20290010,100,100,0.0,1.0,2.0,4.0,0.0758,0.8,0.581
baixo,1000,29,20290910,1000,1000,0.0,1.0,2.0,46.0,0.1062,0.4118,5.372
baixo,10000,29,20299910,10000,10000,0.0,1.0,2.0,27.0,0.1034,0.4605,51.771
base,100,29,20290010,100,100,0.0,0.0,1.0,2.0,0.1587,0.4,0.367
base,1000,29,20290910,1000,1000,0.0,1.0,2.0,3.0,0.1678,0.4216,4.697
base,10000,29,20299910,10000,10000,0.0,1.0,2.0,56.0,0.1761,0.4852,48.93
alto,100,29,20290010,100,100,0.0,1.0,1.0,2.0,0.2941,0.5333,0.479
alto,1000,29,20290910,1000,1000,0.0,1.0,2.0,4.0,0.2715,0.446,5.743
alto,10000,29,20299910,10000,10000,0.0,1.0,2.0,59.0,0.2958,0.4657,47.018
baixo,10000,30,20300910,10000,10000,0.0,1.0,2.0,59.0,0.1005,0.4891,46.801
baixo,1000,30,20291910,1000,1000,0.0,1.0,2.0,5.0,0.0894,0.3793,4.561
baixo,100,30,20291010,100,100,0.0,1.0,2.0,3.0,0.0435,0.6667,0.462
base,10000,30,20300910,10000,10000,0.0,1.0,2.0,57.0,0.1649,0.4718,50.537
base,1000,30,20291910,1000,1000,0.0,1.0,2.0,14.0,0.1708,0.4369,4.734
base,100,30,20291010,100,100,0.0,0.0,1.0,2.0,0.1129,0.5714,0.354
alto,10000,30,20300910,10000,10000,0.0,1.0,2.0,37.0,0.3079,0.4594,55.58
alto,1000,30,20291910,1000,1000,0.0,1.0,2.0,3.0,0.3058,0.3851,5.033
alto,100,30,20291010,100,100,0.0,1.0,2.0,2.0,0.4286,0.5556,0.434
