scenario,load,rep,seed,transport,emitted,accepted,persisted,loss_rate,lat_p50_ms,lat_p95_ms,lat_max_ms,click_of_sent,submit_of_click,elapsed_s
alto,10000,7,20277910,webhook,10000,10000,10000,0.0,4.0,25.0,35.0,0.304,0.4708,151.452
baixo,10000,8,20278910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.1082,0.4708,151.659
baixo,1000,8,20269910,webhook,1000,1000,1000,0.0,4.0,25.0,51.0,0.0969,0.5079,14.028
baixo,100,8,20269010,webhook,100,100,100,0.0,4.0,27.0,30.0,0.0806,0.8,1.658
base,10000,8,20278910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.1696,0.4672,150.469
base,1000,8,20269910,webhook,1000,1000,1000,0.0,4.0,25.0,30.0,0.1749,0.4528,15.008
base,100,8,20269010,webhook,100,100,100,0.0,4.0,24.05,30.0,0.1964,0.5455,1.333
alto,10000,8,20278910,webhook,10000,10000,10000,0.0,4.0,26.0,35.0,0.2989,0.463,156.275
alto,1000,8,20269910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.3219,0.4733,15.997
alto,100,8,20269010,webhook,100,100,100,0.0,5.0,27.0,33.0,0.2979,0.6429,1.725
baixo,100,9,20270010,webhook,100,100,100,0.0,4.0,25.0,30.0,0.058,0.25,1.543
baixo,1000,9,20270910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.0637,0.3023,16.601
baixo,10000,9,20279910,webhook,10000,10000,10000,0.0,4.0,25.0,95.0,0.0977,0.457,152.758
base,100,9,20270010,webhook,100,100,100,0.0,4.0,25.05,30.0,0.127,0.625,1.62
base,1000,9,20270910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.1328,0.3294,15.591
base,10000,9,20279910,webhook,10000,10000,10000,0.0,4.0,25.0,42.0,0.1657,0.466,148.639
alto,100,9,20270010,webhook,100,100,100,0.0,3.0,24.0,27.0,0.3043,0.6429,1.25
alto,1000,9,20270910,webhook,1000,1000,1000,0.0,4.0,25.0,32.0,0.2854,0.4532,14.684
alto,10000,9,20279910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.3188,0.471,148.45
baixo,10000,10,20280910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.0979,0.5242,152.016
baixo,1000,10,20271910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.1224,0.3506,15.733
baixo,100,10,20271010,webhook,100,100,100,0.0,4.0,21.1,27.0,0.1212,0.25,1.363
base,10000,10,20280910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.1685,0.4801,152.381
base,1000,10,20271910,webhook,1000,1000,1000,0.0,3.0,25.0,32.0,0.186,0.3945,14.596
base,100,10,20271010,webhook,100,100,100,0.0,3.5,24.05,32.0,0.1774,0.2727,1.439
alto,10000,10,20280910,webhook,10000,10000,10000,0.0,4.0,26.0,66.0,0.2991,0.4615,156.305
alto,1000,10,20271910,webhook,1000,1000,1000,0.0,4.0,26.05,32.0,0.2984,0.4483,15.733
alto,100,10,20271010,webhook,100,100,100,0.0,4.0,21.0,24.0,0.3953,0.4118,1.437
baixo,100,11,20272010,webhook,100,100,100,0.0,5.0,28.0,30.0,0.0938,0.5,1.925
baixo,1000,11,20272910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.1089,0.597,15.722
baixo,10000,11,20281910,webhook,10000,10000,10000,0.0,4.0,25.0,34.0,0.0969,0.4316,152.904
base,100,11,20272010,webhook,100,100,100,0.0,4.0,26.0,28.0,0.1311,0.5,1.502
base,1000,11,20272910,webhook,1000,1000,1000,0.0,4.0,25.0,30.0,0.1585,0.5638,14.136
base,10000,11,20281910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.1718,0.4453,146.861
alto,100,11,20272010,webhook,100,100,100,0.0,4.0,29.0,31.0,0.1961,0.3,1.744
alto,1000,11,20272910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.3017,0.4965,15.358
alto,10000,11,20281910,webhook,10000,10000,10000,0.0,4.0,25.0,70.0,0.2956,0.4793,152.159
baixo,10000,12,20282910,webhook,10000,10000,10000,0.0,4.0,25.0,110.0,0.098,0.4462,162.647
baixo,1000,12,20273910,webhook,1000,1000,1000,0.0,4.0,25.0,32.0,0.1141,0.4648,14.069
baixo,100,12,20273010,webhook,100,100,100,0.0,4.0,26.0,32.0,0.1148,0.4286,1.614
base,10000,12,20282910,webhook,10000,10000,10000,0.0,4.0,25.0,41.0,0.1631,0.459,149.257
base,1000,12,20273910,webhook,1000,1000,1000,0.0,4.0,25.0,42.0,0.173,0.4808,15.008
base,100,12,20273010,webhook,100,100,100,0.0,4.0,27.0,31.0,0.1493,0.1,1.597
alto,10000,12,20282910,webhook,10000,10000,10000,0.0,4.0,25.0,43.0,0.2928,0.4794,154.938
alto,1000,12,20273910,webhook,1000,1000,1000,0.0,4.0,26.0,45.0,0.298,0.4315,16.554
alto,100,12,20273010,webhook,100,100,100,0.0,4.0,22.05,30.0,0.1923,0.6,1.372
baixo,100,13,20274010,webhook,100,100,100,0.0,4.0,26.0,30.0,0.0781,0.6,1.66
baixo,1000,13,20274910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.0827,0.3889,16.318
baixo,10000,13,20283910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.1056,0.4194,150.154
base,100,13,20274010,webhook,100,100,100,0.0,6.0,26.05,30.0,0.1094,0.4286,1.855
base,1000,13,20274910,webhook,1000,1000,1000,0.0,3.0,25.0,32.0,0.1502,0.5275,14.39
base,10000,13,20283910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.1702,0.4488,149.889
alto,100,13,20274010,webhook,100,100,100,0.0,4.0,25.05,30.0,0.2453,0.3077,1.624
alto,1000,13,20274910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.284,0.4929,16.291
alto,10000,13,20283910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.3065,0.4626,148.913
baixo,10000,14,20284910,webhook,10000,10000,10000,0.0,4.0,25.0,45.0,0.1018,0.4837,152.44
baixo,1000,14,20275910,webhook,1000,1000,1000,0.0,4.0,26.05,32.0,0.0903,0.3966,16.128
baixo,100,14,20275010,webhook,100,100,100,0.0,5.0,28.0,31.0,0.1452,0.5556,1.893
base,10000,14,20284910,webhook,10000,10000,10000,0.0,4.0,25.0,59.0,0.1738,0.4704,150.596
base,1000,14,20275910,webhook,1000,1000,1000,0.0,4.0,25.0,32.0,0.1706,0.4412,14.828
base,100,14,20275010,webhook,100,100,100,0.0,4.0,28.0,30.0,0.1864,0.6364,1.831
alto,10000,14,20284910,webhook,10000,10000,10000,0.0,4.0,25.0,41.0,0.3073,0.4752,155.743
alto,1000,14,20275910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.2788,0.4058,16.135
alto,100,14,20275010,webhook,100,100,100,0.0,5.0,25.0,31.0,0.2745,0.4286,1.723
baixo,100,15,20276010,webhook,100,100,100,0.0,4.0,22.1,29.0,0.0588,0.5,1.372
baixo,1000,15,20276910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.1022,0.4394,14.805
baixo,10000,15,20285910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.0956,0.4755,146.589
base,100,15,20276010,webhook,100,100,100,0.0,4.5,25.0,28.0,0.1212,0.375,1.673
base,1000,15,20276910,webhook,1000,1000,1000,0.0,4.0,26.0,44.0,0.1823,0.4771,14.92
base,10000,15,20285910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.1685,0.4697,149.624
alto,100,15,20276010,webhook,100,100,100,0.0,3.0,25.0,29.0,0.3182,0.4286,1.371
alto,1000,15,20276910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.3263,0.5355,14.972
alto,10000,15,20285910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.2987,0.4774,147.151
baixo,10000,16,20286910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.1001,0.5031,147.568
baixo,1000,16,20277910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.0866,0.4107,15.381
baixo,100,16,20277010,webhook,100,100,100,0.0,6.0,28.0,28.0,0.1525,0.2222,2.018
base,10000,16,20286910,webhook,10000,10000,10000,0.0,4.0,25.0,63.0,0.1616,0.464,153.054
base,1000,16,20277910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.1452,0.5281,15.998
base,100,16,20277010,webhook,100,100,100,0.0,4.0,26.0,28.0,0.2407,0.3077,1.45
alto,10000,16,20286910,webhook,10000,10000,10000,0.0,4.0,25.0,34.0,0.3045,0.4682,144.167
alto,1000,16,20277910,webhook,1000,1000,1000,0.0,4.0,26.0,42.0,0.2939,0.554,15.284
alto,100,16,20277010,webhook,100,100,100,0.0,4.0,24.1,28.0,0.3191,0.4,1.39
baixo,100,17,20278010,webhook,100,100,100,0.0,4.0,22.05,33.0,0.1525,0.7778,1.294
baixo,1000,17,20278910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.1134,0.3699,14.72
baixo,10000,17,20287910,webhook,10000,10000,10000,0.0,3.0,25.0,32.0,0.0972,0.4799,145.062
base,100,17,20278010,webhook,100,100,100,0.0,3.0,24.0,30.0,0.2364,0.7692,1.269
base,1000,17,20278910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.1381,0.4023,14.921
base,10000,17,20287910,webhook,10000,10000,10000,0.0,4.0,26.0,78.0,0.1698,0.4921,152.166
alto,100,17,20278010,webhook,100,100,100,0.0,3.0,22.0,26.0,0.3542,0.5882,1.261
alto,1000,17,20278910,webhook,1000,1000,1000,0.0,4.0,25.0,32.0,0.2461,0.512,15.122
alto,10000,17,20287910,webhook,10000,10000,10000,0.0,4.0,25.0,65.0,0.3054,0.4737,145.741
baixo,10000,18,20288910,webhook,10000,10000,10000,0.0,4.0,25.0,62.0,0.0996,0.4544,149.881
baixo,1000,18,20279910,webhook,1000,1000,1000,0.0,3.0,25.0,51.0,0.1002,0.5873,14.457
baixo,100,18,20279010,webhook,100,100,100,0.0,4.0,27.0,31.0,0.0938,0.5,1.62
base,10000,18,20288910,webhook,10000,10000,10000,0.0,4.0,25.0,90.0,0.1607,0.4814,170.72
base,1000,18,20279910,webhook,1000,1000,1000,0.0,5.0,22.0,34.0,0.1731,0.4951,22.454
base,100,18,20279010,webhook,100,100,100,0.0,5.0,23.0,27.0,0.1475,0.4444,2.186
alto,10000,18,20288910,webhook,10000,10000,10000,0.0,5.0,22.0,89.0,0.305,0.4478,220.315
alto,1000,18,20279910,webhook,1000,1000,1000,0.0,4.0,24.0,30.0,0.3137,0.5101,14.282
alto,100,18,20279010,webhook,100,100,100,0.0,3.5,21.0,26.0,0.4146,0.5882,1.261
baixo,100,19,20280010,webhook,100,100,100,0.0,4.0,22.2,30.0,0.1379,0.375,1.492
baixo,1000,19,20280910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.094,0.5082,15.745
baixo,10000,19,20289910,webhook,10000,10000,10000,0.0,4.0,25.0,42.0,0.1025,0.4809,155.103
base,100,19,20280010,webhook,100,100,100,0.0,4.5,25.05,28.0,0.1786,0.3,1.716
base,1000,19,20280910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.1617,0.4796,15.845
base,10000,19,20289910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.1698,0.5045,147.675
alto,100,19,20280010,webhook,100,100,100,0.0,7.0,27.0,28.0,0.4524,0.3684,1.935
alto,1000,19,20280910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.2915,0.4306,14.969
alto,10000,19,20289910,webhook,10000,10000,10000,0.0,4.0,25.0,52.0,0.3051,0.4775,150.209
baixo,10000,20,20290910,webhook,10000,10000,10000,0.0,4.0,25.0,49.0,0.1027,0.4399,149.89
baixo,1000,20,20281910,webhook,1000,1000,1000,0.0,3.0,26.0,32.0,0.0851,0.4545,14.933
baixo,100,20,20281010,webhook,100,100,100,0.0,4.0,26.0,29.0,0.1077,0.5714,1.693
base,10000,20,20290910,webhook,10000,10000,10000,0.0,4.0,25.0,63.0,0.1679,0.4512,149.174
base,1000,20,20281910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.1669,0.4545,15.423
base,100,20,20281010,webhook,100,100,100,0.0,4.0,27.0,32.0,0.125,0.625,1.481
alto,10000,20,20290910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.2896,0.4904,148.064
alto,1000,20,20281910,webhook,1000,1000,1000,0.0,4.0,25.0,33.0,0.3197,0.4295,16.056
alto,100,20,20281010,webhook,100,100,100,0.0,4.0,24.0,29.0,0.4286,0.4444,1.407
baixo,100,21,20282010,webhook,100,100,100,0.0,3.0,21.0,27.0,0.0758,0.2,1.24
baixo,1000,21,20282910,webhook,1000,1000,1000,0.0,4.0,25.05,32.0,0.0805,0.3962,14.374
baixo,10000,21,20291910,webhook,10000,10000,10000,0.0,4.0,24.0,71.0,0.0968,0.4798,168.646
base,100,21,20282010,webhook,100,100,100,0.0,16.0,25.0,30.0,0.129,0.375,3.843
base,1000,21,20282910,webhook,1000,1000,1000,0.0,5.0,24.0,33.0,0.1383,0.4419,24.38
base,10000,21,20291910,webhook,10000,10000,10000,0.0,4.0,25.0,64.0,0.1662,0.4764,184.372
alto,100,21,20282010,webhook,100,100,100,0.0,4.0,25.0,27.0,0.2857,0.5,1.544
alto,1000,21,20282910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.2831,0.4823,15.051
alto,10000,21,20291910,webhook,10000,10000,10000,0.0,4.0,25.0,35.0,0.3072,0.4703,150.073
baixo,10000,22,20292910,webhook,10000,10000,10000,0.0,4.0,25.0,67.0,0.1031,0.4625,147.369
baixo,1000,22,20283910,webhook,1000,1000,1000,0.0,4.0,26.05,32.0,0.1208,0.4,16.175
baixo,100,22,20283010,webhook,100,100,100,0.0,4.0,25.05,31.0,0.0938,0.3333,1.652
base,10000,22,20292910,webhook,10000,10000,10000,0.0,4.0,25.0,39.0,0.1699,0.4837,152.502
base,1000,22,20283910,webhook,1000,1000,1000,0.0,4.0,26.0,31.0,0.178,0.4206,16.184
base,100,22,20283010,webhook,100,100,100,0.0,4.0,26.0,28.0,0.1754,0.3,1.599
alto,10000,22,20292910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.2975,0.4913,147.18
alto,1000,22,20283910,webhook,1000,1000,1000,0.0,4.0,25.05,30.0,0.2875,0.5,15.585
alto,100,22,20283010,webhook,100,100,100,0.0,6.0,25.0,27.0,0.2917,0.2857,1.874
baixo,100,23,20284010,webhook,100,100,100,0.0,3.0,23.05,31.0,0.0909,0.5,1.436
baixo,1000,23,20284910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.1079,0.5373,15.296
baixo,10000,23,20293910,webhook,10000,10000,10000,0.0,4.0,25.0,36.0,0.095,0.4605,152.23
base,100,23,20284010,webhook,100,100,100,0.0,4.0,22.0,30.0,0.1429,0.4444,1.438
base,1000,23,20284910,webhook,1000,1000,1000,0.0,4.0,25.0,56.0,0.1675,0.57,15.037
base,10000,23,20293910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.1687,0.4708,169.176
alto,100,23,20284010,webhook,100,100,100,0.0,5.0,21.05,30.0,0.3,0.4667,2.181
alto,1000,23,20284910,webhook,1000,1000,1000,0.0,5.0,24.0,32.0,0.3004,0.4825,22.757
alto,10000,23,20293910,webhook,10000,10000,10000,0.0,5.0,22.0,57.0,0.2999,0.4576,226.71
baixo,10000,24,20294910,webhook,10000,10000,10000,0.0,4.0,25.0,59.0,0.1032,0.4777,152.969
baixo,1000,24,20285910,webhook,1000,1000,1000,0.0,4.0,25.0,43.0,0.0987,0.4603,14.923
baixo,100,24,20285010,webhook,100,100,100,0.0,3.5,24.05,29.0,0.0563,0.75,1.398
base,10000,24,20294910,webhook,10000,10000,10000,0.0,4.0,25.0,57.0,0.1691,0.4955,153.107
base,1000,24,20285910,webhook,1000,1000,1000,0.0,3.0,25.0,32.0,0.1735,0.4902,14.341
base,100,24,20285010,webhook,100,100,100,0.0,4.0,25.05,28.0,0.1014,0.5714,1.468
alto,10000,24,20294910,webhook,10000,10000,10000,0.0,4.0,25.0,39.0,0.2888,0.4706,150.345
alto,1000,24,20285910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.2908,0.5036,13.987
alto,100,24,20285010,webhook,100,100,100,0.0,4.0,26.05,30.0,0.1818,0.3,1.501
baixo,100,25,20286010,webhook,100,100,100,0.0,4.0,23.0,25.0,0.0909,0.3333,1.545
baixo,1000,25,20286910,webhook,1000,1000,1000,0.0,4.0,24.0,32.0,0.0874,0.4912,14.688
baixo,10000,25,20295910,webhook,10000,10000,10000,0.0,4.0,25.0,71.0,0.0977,0.4736,152.512
base,100,25,20286010,webhook,100,100,100,0.0,3.0,23.05,29.0,0.1429,0.1111,1.314
base,1000,25,20286910,webhook,1000,1000,1000,0.0,4.0,25.0,35.0,0.1438,0.5281,14.608
base,10000,25,20295910,webhook,10000,10000,10000,0.0,4.0,25.0,35.0,0.1653,0.4748,150.313
alto,100,25,20286010,webhook,100,100,100,0.0,4.0,25.0,27.0,0.3333,0.2353,1.486
alto,1000,25,20286910,webhook,1000,1000,1000,0.0,5.0,26.0,32.0,0.3319,0.4872,17.666
alto,10000,25,20295910,webhook,10000,10000,10000,0.0,4.0,25.0,38.0,0.2929,0.4873,155.412
baixo,10000,26,20296910,webhook,10000,10000,10000,0.0,4.0,25.0,36.0,0.1058,0.4807,151.396
baixo,1000,26,20287910,webhook,1000,1000,1000,0.0,4.0,25.0,29.0,0.0883,0.5862,14.59
baixo,100,26,20287010,webhook,100,100,100,0.0,4.0,26.0,30.0,0.1475,0.2222,1.478
base,10000,26,20296910,webhook,10000,10000,10000,0.0,4.0,25.0,77.0,0.1664,0.503,153.844
base,1000,26,20287910,webhook,1000,1000,1000,0.0,4.0,26.0,36.0,0.1419,0.5618,16.662
base,100,26,20287010,webhook,100,100,100,0.0,4.0,27.0,31.0,0.2034,0.5833,1.756
alto,10000,26,20296910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.2963,0.4895,155.092
alto,1000,26,20287910,webhook,1000,1000,1000,0.0,3.0,23.0,41.0,0.3137,0.5168,14.178
alto,100,26,20287010,webhook,100,100,100,0.0,4.0,21.1,26.0,0.2979,0.5,1.325
baixo,100,27,20288010,webhook,100,100,100,0.0,5.0,27.0,31.0,0.1311,0.375,1.82
baixo,1000,27,20288910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.0839,0.4259,16.338
baixo,10000,27,20297910,webhook,10000,10000,10000,0.0,4.0,25.0,40.0,0.1005,0.4945,158.412
base,100,27,20288010,webhook,100,100,100,0.0,4.0,27.0,31.0,0.1475,0.3333,1.742
base,1000,27,20288910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.1488,0.5111,15.328
base,10000,27,20297910,webhook,10000,10000,10000,0.0,4.0,25.0,63.0,0.1676,0.5035,145.729
alto,100,27,20288010,webhook,100,100,100,0.0,4.0,25.0,28.0,0.25,0.4615,1.337
alto,1000,27,20288910,webhook,1000,1000,1000,0.0,4.0,24.0,31.0,0.2857,0.4643,13.63
alto,10000,27,20297910,webhook,10000,10000,10000,0.0,4.0,25.0,62.0,0.3007,0.4757,155.667
baixo,10000,28,20298910,webhook,10000,10000,10000,0.0,4.0,25.0,36.0,0.0969,0.4854,150.159
baixo,1000,28,20289910,webhook,1000,1000,1000,0.0,4.0,25.0,32.0,0.0821,0.5741,16.184
baixo,100,28,20289010,webhook,100,100,100,0.0,3.5,23.05,28.0,0.0806,0.4,1.361
base,10000,28,20298910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.1646,0.4766,150.259
base,1000,28,20289910,webhook,1000,1000,1000,0.0,4.0,24.0,30.0,0.1618,0.5253,15.116
base,100,28,20289010,webhook,100,100,100,0.0,4.0,24.05,30.0,0.1579,0.8889,1.457
alto,10000,28,20298910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.2984,0.4723,151.87
alto,1000,28,20289910,webhook,1000,1000,1000,0.0,4.0,25.0,53.0,0.2759,0.5294,15.822
alto,100,28,20289010,webhook,100,100,100,0.0,4.0,25.0,28.0,0.3,0.5333,1.438
baixo,100,29,20290010,webhook,100,100,100,0.0,4.0,25.05,27.0,0.0758,0.8,1.677
baixo,1000,29,20290910,webhook,1000,1000,1000,0.0,4.0,25.05,31.0,0.1062,0.4118,15.084
baixo,10000,29,20299910,webhook,10000,10000,10000,0.0,4.0,25.0,34.0,0.1034,0.4605,145.828
base,100,29,20290010,webhook,100,100,100,0.0,3.0,24.05,29.0,0.1587,0.4,1.229
base,1000,29,20290910,webhook,1000,1000,1000,0.0,4.0,24.0,32.0,0.1678,0.4216,15.176
base,10000,29,20299910,webhook,10000,10000,10000,0.0,4.0,25.0,37.0,0.1761,0.4852,143.593
alto,100,29,20290010,webhook,100,100,100,0.0,3.0,23.05,31.0,0.2941,0.5333,1.205
