scenario,load,rep,seed,emitted,persisted,loss_rate,lat_p50_ms,lat_p95_ms,lat_max_ms,click_of_sent,submit_of_click,elapsed_s
base,1000,5,20266910,1000,1000,0.0,1.0,2.0,55.0,0.1623,0.48,5.533
base,10000,5,20275910,10000,10000,0.0,1.0,2.0,63.0,0.1711,0.4833,49.701
alto,100,5,20266010,100,100,0.0,1.0,2.05,12.0,0.3778,0.4118,0.593
alto,1000,5,20266910,1000,1000,0.0,1.0,2.0,5.0,0.3479,0.4214,5.894
alto,10000,5,20275910,10000,10000,0.0,1.0,2.0,43.0,0.2884,0.46,49.987
baixo,10000,6,20276910,10000,10000,0.0,1.0,2.0,77.0,0.0991,0.4849,47.885
baixo,1000,6,20267910,1000,1000,0.0,1.0,2.0,3.0,0.1013,0.5,4.554
baixo,100,6,20267010,100,100,0.0,1.0,2.0,3.0,0.1212,0.5,0.467
base,10000,6,20276910,10000,10000,0.0,1.0,2.0,49.0,0.1643,0.4868,47.176
base,1000,6,20267910,1000,1000,0.0,1.0,2.0,4.0,0.1622,0.5258,4.713
base,100,6,20267010,100,100,0.0,0.0,2.0,5.0,0.1587,0.5,0.415
alto,10000,6,20276910,10000,10000,0.0,1.0,3.0,494.0,0.2922,0.4891,75.703
alto,1000,6,20267910,1000,1000,0.0,1.0,2.0,3.0,0.2955,0.4965,5.416
alto,100,6,20267010,100,100,0.0,1.0,1.05,3.0,0.32,0.3125,0.401
baixo,100,7,20268010,100,100,0.0,1.0,9.1,15.0,0.1452,0.4444,1.029
baixo,1000,7,20268910,1000,1000,0.0,1.0,2.0,6.0,0.0827,0.3704,5.774
baixo,10000,7,20277910,10000,10000,0.0,1.0,4.0,36.0,0.0954,0.4803,80.232
base,100,7,20268010,100,100,0.0,3.0,4.0,6.0,0.2203,0.3846,1.197
base,1000,7,20268910,1000,1000,0.0,2.0,4.0,19.0,0.1689,0.4653,10.749
base,10000,7,20277910,10000,10000,0.0,1.0,2.0,81.0,0.1627,0.4684,105.363
alto,100,7,20268010,100,100,0.0,2.0,2.0,4.0,0.3061,0.2,1.253
alto,1000,7,20268910,1000,1000,0.0,2.0,3.0,13.0,0.3048,0.4726,14.804
alto,10000,7,20277910,10000,10000,0.0,2.0,3.0,61.0,0.304,0.4708,142.339
baixo,10000,8,20278910,10000,10000,0.0,1.0,2.0,53.0,0.1082,0.4708,134.742
baixo,1000,8,20269910,1000,1000,0.0,1.0,2.0,44.0,0.0969,0.5079,12.529
baixo,100,8,20269010,100,100,0.0,2.0,2.0,6.0,0.0806,0.8,1.316
base,10000,8,20278910,10000,10000,0.0,2.0,3.0,62.0,0.1696,0.4672,140.389
base,1000,8,20269910,1000,1000,0.0,1.0,2.0,5.0,0.1749,0.4528,12.607
base,100,8,20269010,100,100,0.0,1.0,2.0,3.0,0.1964,0.5455,1.257
alto,10000,8,20278910,10000,10000,0.0,2.0,3.0,75.0,0.2989,0.463,140.729
alto,1000,8,20269910,1000,1000,0.0,1.0,2.0,23.0,0.3219,0.4733,13.549
alto,100,8,20269010,100,100,0.0,1.0,2.0,7.0,0.2979,0.6429,1.329
baixo,100,9,20270010,100,100,0.0,1.0,2.0,3.0,0.058,0.25,1.368
baixo,1000,9,20270910,1000,1000,0.0,1.0,2.0,36.0,0.0637,0.3023,13.301
baixo,10000,9,20279910,10000,10000,0.0,1.0,2.0,76.0,0.0977,0.457,134.675
base,100,9,20270010,100,100,0.0,1.0,2.0,3.0,0.127,0.625,1.158
base,1000,9,20270910,1000,1000,0.0,1.0,2.0,48.0,0.1328,0.3294,12.163
base,10000,9,20279910,10000,10000,0.0,1.0,2.0,50.0,0.1657,0.466,114.683
alto,100,9,20270010,100,100,0.0,1.0,2.0,3.0,0.3043,0.6429,1.121
alto,1000,9,20270910,1000,1000,0.0,1.0,2.0,33.0,0.2854,0.4532,11.812
alto,10000,9,20279910,10000,10000,0.0,1.0,2.0,88.0,0.3188,0.471,121.15
baixo,10000,10,20280910,10000,10000,0.0,1.0,2.0,90.0,0.0979,0.5242,120.887
baixo,1000,10,20271910,1000,1000,0.0,1.0,2.0,8.0,0.1224,0.3506,10.385
baixo,100,10,20271010,100,100,0.0,1.0,2.0,2.0,0.1212,0.25,0.679
base,10000,10,20280910,10000,10000,0.0,1.0,2.0,52.0,0.1685,0.4801,113.819
base,1000,10,20271910,1000,1000,0.0,1.0,2.0,13.0,0.186,0.3945,6.577
base,100,10,20271010,100,100,0.0,0.0,2.0,2.0,0.1774,0.2727,0.466
alto,10000,10,20280910,10000,10000,0.0,1.0,2.0,49.0,0.2991,0.4615,93.138
alto,1000,10,20271910,1000,1000,0.0,1.0,2.0,30.0,0.2984,0.4483,11.175
alto,100,10,20271010,100,100,0.0,1.0,2.0,3.0,0.3953,0.4118,1.053
baixo,100,11,20272010,100,100,0.0,1.0,2.0,4.0,0.0938,0.5,1.186
baixo,1000,11,20272910,1000,1000,0.0,1.0,2.0,25.0,0.1089,0.597,12.417
baixo,10000,11,20281910,10000,10000,0.0,1.0,2.0,38.0,0.0969,0.4316,121.663
base,100,11,20272010,100,100,0.0,1.0,2.0,3.0,0.1311,0.5,1.201
base,1000,11,20272910,1000,1000,0.0,1.0,2.0,23.0,0.1585,0.5638,12.545
base,10000,11,20281910,10000,10000,0.0,1.0,2.0,45.0,0.1718,0.4453,113.444
alto,100,11,20272010,100,100,0.0,1.0,2.0,2.0,0.1961,0.3,1.056
alto,1000,11,20272910,1000,1000,0.0,1.0,2.0,30.0,0.3017,0.4965,11.723
alto,10000,11,20281910,10000,10000,0.0,1.0,2.0,66.0,0.2956,0.4793,119.323
baixo,10000,12,20282910,10000,10000,0.0,1.0,2.0,39.0,0.098,0.4462,98.759
baixo,1000,12,20273910,1000,1000,0.0,1.0,2.0,29.0,0.1141,0.4648,11.789
baixo,100,12,20273010,100,100,0.0,1.0,2.0,4.0,0.1148,0.4286,1.03
base,10000,12,20282910,10000,10000,0.0,1.0,2.0,75.0,0.1631,0.459,110.051
base,1000,12,20273910,1000,1000,0.0,1.0,2.0,6.0,0.173,0.4808,6.151
base,100,12,20273010,100,100,0.0,1.0,3.0,4.0,0.1493,0.1,1.252
alto,10000,12,20282910,10000,10000,0.0,1.0,2.0,60.0,0.2928,0.4794,120.377
alto,1000,12,20273910,1000,1000,0.0,1.0,2.0,5.0,0.298,0.4315,10.076
alto,100,12,20273010,100,100,0.0,1.0,2.0,5.0,0.1923,0.6,0.774
baixo,100,13,20274010,100,100,0.0,2.0,3.0,4.0,0.0781,0.6,1.553
baixo,1000,13,20274910,1000,1000,0.0,1.0,2.0,5.0,0.0827,0.3889,11.94
baixo,10000,13,20283910,10000,10000,0.0,1.0,2.0,45.0,0.1056,0.4194,101.348
base,100,13,20274010,100,100,0.0,1.0,2.0,3.0,0.1094,0.4286,0.416
base,1000,13,20274910,1000,1000,0.0,1.0,2.0,5.0,0.1502,0.5275,4.349
base,10000,13,20283910,10000,10000,0.0,1.0,2.0,43.0,0.1702,0.4488,45.677
alto,100,13,20274010,100,100,0.0,0.0,1.0,3.0,0.2453,0.3077,0.364
alto,1000,13,20274910,1000,1000,0.0,1.0,2.0,4.0,0.284,0.4929,4.437
alto,10000,13,20283910,10000,10000,0.0,1.0,2.0,58.0,0.3065,0.4626,47.109
baixo,10000,14,20284910,10000,10000,0.0,1.0,2.0,87.0,0.1018,0.4837,49.426
baixo,1000,14,20275910,1000,1000,0.0,1.0,2.0,4.0,0.0903,0.3966,4.468
baixo,100,14,20275010,100,100,0.0,1.0,2.0,2.0,0.1452,0.5556,0.549
base,10000,14,20284910,10000,10000,0.0,1.0,2.0,35.0,0.1738,0.4704,48.516
base,1000,14,20275910,1000,1000,0.0,1.0,2.0,4.0,0.1706,0.4412,4.797
base,100,14,20275010,100,100,0.0,2.0,2.0,3.0,0.1864,0.6364,0.79
alto,10000,14,20284910,10000,10000,0.0,1.0,2.0,50.0,0.3073,0.4752,76.342
alto,1000,14,20275910,1000,1000,0.0,1.0,2.0,5.0,0.2788,0.4058,6.386
alto,100,14,20275010,100,100,0.0,1.0,2.0,3.0,0.2745,0.4286,1.083
baixo,100,15,20276010,100,100,0.0,1.0,2.0,5.0,0.0588,0.5,1.231
baixo,1000,15,20276910,1000,1000,0.0,1.0,2.0,15.0,0.1022,0.4394,10.916
baixo,10000,15,20285910,10000,10000,0.0,1.0,2.0,50.0,0.0956,0.4755,112.196
base,100,15,20276010,100,100,0.0,1.0,3.0,6.0,0.1212,0.375,1.106
base,1000,15,20276910,1000,1000,0.0,1.0,2.0,19.0,0.1823,0.4771,8.618
base,10000,15,20285910,10000,10000,0.0,1.0,2.0,79.0,0.1685,0.4697,96.074
alto,100,15,20276010,100,100,0.0,2.0,6.05,67.0,0.3182,0.4286,1.538
alto,1000,15,20276910,1000,1000,0.0,1.0,3.0,32.0,0.3263,0.5355,13.331
alto,10000,15,20285910,10000,10000,0.0,1.0,2.0,49.0,0.2987,0.4774,122.456
baixo,10000,16,20286910,10000,10000,0.0,1.0,2.0,48.0,0.1001,0.5031,119.149
baixo,1000,16,20277910,1000,1000,0.0,1.0,2.0,24.0,0.0866,0.4107,11.478
baixo,100,16,20277010,100,100,0.0,1.0,2.0,3.0,0.1525,0.2222,1.049
base,10000,16,20286910,10000,10000,0.0,1.0,2.0,58.0,0.1616,0.464,115.369
base,1000,16,20277910,1000,1000,0.0,1.0,2.0,9.0,0.1452,0.5281,11.241
base,100,16,20277010,100,100,0.0,1.0,3.0,23.0,0.2407,0.3077,1.301
alto,10000,16,20286910,10000,10000,0.0,1.0,2.0,79.0,0.3045,0.4682,113.892
alto,1000,16,20277910,1000,1000,0.0,1.0,2.0,4.0,0.2939,0.554,10.893
alto,100,16,20277010,100,100,0.0,1.0,2.0,3.0,0.3191,0.4,1.092
baixo,100,17,20278010,100,100,0.0,1.0,2.0,4.0,0.1525,0.7778,1.052
baixo,1000,17,20278910,1000,1000,0.0,1.0,2.0,27.0,0.1134,0.3699,11.411
baixo,10000,17,20287910,10000,10000,0.0,1.0,2.0,48.0,0.0972,0.4799,115.045
base,100,17,20278010,100,100,0.0,2.0,2.05,4.0,0.2364,0.7692,1.223
base,1000,17,20278910,1000,1000,0.0,1.0,2.0,21.0,0.1381,0.4023,12.24
base,10000,17,20287910,10000,10000,0.0,1.0,2.0,57.0,0.1698,0.4921,124.035
alto,100,17,20278010,100,100,0.0,2.0,3.0,5.0,0.3542,0.5882,1.522
alto,1000,17,20278910,1000,1000,0.0,2.0,3.0,10.0,0.2461,0.512,14.237
alto,10000,17,20287910,10000,10000,0.0,2.0,3.0,109.0,0.3054,0.4737,129.982
baixo,10000,18,20288910,10000,10000,0.0,1.0,3.0,18.0,0.0996,0.4544,70.134
baixo,1000,18,20279910,1000,1000,0.0,1.0,2.0,5.0,0.1002,0.5873,5.95
baixo,100,18,20279010,100,100,0.0,1.0,2.0,3.0,0.0938,0.5,0.768
base,10000,18,20288910,10000,10000,0.0,1.0,2.0,20.0,0.1607,0.4814,53.393
base,1000,18,20279910,1000,1000,0.0,1.0,2.0,7.0,0.1731,0.4951,5.048
base,100,18,20279010,100,100,0.0,1.0,2.0,3.0,0.1475,0.4444,0.444
alto,10000,18,20288910,10000,10000,0.0,1.0,2.0,46.0,0.305,0.4478,83.284
alto,1000,18,20279910,1000,1000,0.0,1.0,2.0,51.0,0.3137,0.5101,6.959
alto,100,18,20279010,100,100,0.0,1.0,2.0,4.0,0.4146,0.5882,0.598
baixo,100,19,20280010,100,100,0.0,1.0,2.0,2.0,0.1379,0.375,0.623
baixo,1000,19,20280910,1000,1000,0.0,1.0,2.0,28.0,0.094,0.5082,7.023
baixo,10000,19,20289910,10000,10000,0.0,1.0,2.0,85.0,0.1025,0.4809,53.467
base,100,19,20280010,100,100,0.0,1.0,1.05,3.0,0.1786,0.3,0.449
base,1000,19,20280910,1000,1000,0.0,1.0,2.0,4.0,0.1617,0.4796,5.441
base,10000,19,20289910,10000,10000,0.0,1.0,2.0,46.0,0.1698,0.5045,87.024
alto,100,19,20280010,100,100,0.0,0.5,1.0,2.0,0.4524,0.3684,0.394
alto,1000,19,20280910,1000,1000,0.0,1.0,2.0,5.0,0.2915,0.4306,5.258
alto,10000,19,20289910,10000,10000,0.0,1.0,3.0,77.0,0.3051,0.4775,91.068
baixo,10000,20,20290910,10000,10000,0.0,1.0,2.0,71.0,0.1027,0.4399,82.393
baixo,1000,20,20281910,1000,1000,0.0,1.0,2.0,24.0,0.0851,0.4545,6.164
baixo,100,20,20281010,100,100,0.0,1.0,2.0,3.0,0.1077,0.5714,0.679
